t_binance_ms,t_received_ns,t_sent_ns
1777485038898,1777485038764646444,1777485038764821114
1777485040277,1777485040153342252,1777485040153479345
1777485040277,1777485040153871182,1777485040154002293
1777485040277,1777485040154444779,1777485040154527633
1777485040277,1777485040155179597,1777485040155281794
1777485040277,1777485040155760971,1777485040155853895
1777485040277,1777485040156527496,1777485040156625505
1777485040277,1777485040157187436,1777485040157253540
1777485040277,1777485040157773497,1777485040157887658
1777485040277,1777485040158484286,1777485040158605427
1777485040277,1777485040159162273,1777485040159293484
1777485040277,1777485040159943155,1777485040160038273
1777485040277,1777485040160626128,1777485040160739292
1777485040277,1777485040161270913,1777485040161337416
1777485040277,1777485040161878111,1777485040161965551
1777485040277,1777485040162501759,1777485040162613228
1777485040277,1777485040163513854,1777485040163638784
1777485040277,1777485040164192340,1777485040164311985
1777485040277,1777485040164860357,1777485040164992864
1777485040277,1777485040165354191,1777485040166515144
1777485040277,1777485040166860818,1777485040167028420
1777485040277,1777485040167786869,1777485040167881887
1777485040277,1777485040168378612,1777485040168539833
1777485040277,1777485040169210841,1777485040169299977
1777485040277,1777485040169977066,1777485040170103990
1777485040277,1777485040170564223,1777485040170649470
1777485040277,1777485040171160553,1777485040171334636
1777485040277,1777485040172297976,1777485040172387211
1777485040277,1777485040173232402,1777485040173382157
1777485040277,1777485040174460356,1777485040174600341
1777485040277,1777485040175123188,1777485040175290492
1777485040277,1777485040176073966,1777485040176175564
1777485040277,1777485040177062631,1777485040177226444
1777485040277,1777485040178029460,1777485040178329868
1777485040277,1777485040179080839,1777485040179209158
1777485040277,1777485040179777969,1777485040179983459
1777485040277,1777485040180842210,1777485040181030251
1777485040277,1777485040181338536,1777485040181517206
1777485040277,1777485040181957499,1777485040182039056
1777485040277,1777485040183031111,1777485040183169800
1777485040277,1777485040184624381,1777485040184819003
1777485040277,1777485040185683636,1777485040185886135
1777485040277,1777485040186144867,1777485040186233105
1777485040277,1777485040186990556,1777485040187100330
1777485040277,1777485040188318514,1777485040188920527
1777485040277,1777485040189695825,1777485040189891245
1777485040277,1777485040190267428,1777485040190354769
1777485040277,1777485040191579832,1777485040191780336
1777485040277,1777485040192335488,1777485040192506680
1777485040277,1777485040193581190,1777485040193792164
1777485040277,1777485040194662779,1777485040195606876
1777485040277,1777485040196236307,1777485040196392643
1777485040277,1777485040197079604,1777485040197326172
1777485040277,1777485040198063981,1777485040198187714
1777485040277,1777485040199068100,1777485040199239890
1777485040277,1777485040200064742,1777485040200194656
1777485040277,1777485040201689019,1777485040201870680
1777485040277,1777485040202989359,1777485040203102523
1777485040277,1777485040204277235,1777485040204451019
1777485040277,1777485040205423133,1777485040205553048
1777485040277,1777485040207251605,1777485040207437952
1777485040277,1777485040208538684,1777485040209401423
1777485040277,1777485040209768234,1777485040209924171
1777485040277,1777485040210356487,1777485040210633864
1777485040277,1777485040211376060,1777485040211554431
1777485040277,1777485040211867402,1777485040212110480
1777485040277,1777485040212764139,1777485040213848919
1777485040277,1777485040214464591,1777485040215438799
1777485040277,1777485040216063444,1777485040216196051
1777485040277,1777485040216998668,1777485040217167566
1777485040277,1777485040217901388,1777485040218020634
1777485040277,1777485040218683865,1777485040219483491
1777485040277,1777485040219803840,1777485040219958281
1777485040277,1777485040220960107,1777485040221071975
1777485040277,1777485040221373879,1777485040221477571
1777485040277,1777485040221837103,1777485040221942490
1777485040277,1777485040222433433,1777485040223448420
1777485040277,1777485040224176458,1777485040224328706
1777485040277,1777485040224816957,1777485040224937399
1777485040277,1777485040225958169,1777485040226091672
